QUESTION,ANSWER
What does DNA stand for?,deoxyribonucleic acid
What does RNA stand for?,ribonucleic acid
What is the scale used to measure acidity or alkalinity?,pH scale
What is the substance that speeds a chemical reaction without being consumed?,catalyst
What is the process for heating an ore to obtain a metal?,smelting
What is the distance between a lens and its focal point?,focal length
What is the energy unit defined as the heat required to raise 1 kg of water by 1 degree?,calorie
What is the common element used in manufacturing computer chips?,silicon
What is a computer program used to help solve homicides?,HITMAN
What is the name of a computer used for weather research?,MANIAC
What is the study of kidneys?,nephrology
What is the curved line between any 2 points on a circle?,arc
